xx,yy,herb,properties,rgb
-2.968632936,0.178786859,人参,"四气五味：甘,微苦,微温；归经：脾,肺,心,肾","rgb(160,160,160)"
-3.140700817,0.9420836570000001,白术,"四气五味：苦,甘,温；归经：脾,胃","rgb(139,138,138)"
-4.655617714,-1.0439398290000002,茯苓,"四气五味：甘,淡,平；归经：心,肺,脾,肾","rgb(0,124,128)"
-4.523247719,-0.609639764,甘草,"四气五味：甘,平；归经：心,肺,脾,胃","rgb(130,68,117)"
-4.429934025,-0.07915871599999999,薏苡仁,"四气五味：甘,淡,凉；归经：脾,胃,肺","rgb(127,76,94)"
-1.504244208,-0.00548108,桔梗,"四气五味：苦,辛,平；归经：肺","rgb(111,118,102)"
-3.824779987,0.357004225,白扁豆,"四气五味：甘,微温；归经：脾,胃","rgb(129,126,138)"
-4.5282087330000005,-1.3874715569999998,山药,"四气五味：甘,平；归经：脾,肺,肾","rgb(174,121,50)"
-3.906730175,-0.022498643,大枣,"四气五味：甘,温；归经：脾,胃,心","rgb(96,129,156)"
-3.413937092,0.252200156,黄芪,"四气五味：甘,微温；归经：肺,脾","rgb(145,150,153)"
-4.269578934,-0.515816808,炙甘草,"四气五味：甘,平；归经：心,肺,脾,胃","rgb(78,105,167)"
-3.238331079,-0.787130058,当归,"四气五味：甘,辛,温；归经：肝,心,脾","rgb(232,78,60)"
-1.886649609,0.6802307959999999,陈皮,"四气五味：苦,辛,温；归经：肺,脾","rgb(126,125,125)"
-3.309570789,-1.132460117,升麻,"四气五味：辛,微甘,微寒；归经：肺,脾,胃,大肠","rgb(235,57,78)"
-1.373338819,-1.060228109,柴胡,"四气五味：辛,苦,微寒；归经：肝,胆,肺","rgb(116,96,42)"
-2.8830199239999996,-0.620351553,防风,"四气五味：辛,甘,微温；归经：膀胱,肝,脾","rgb(207,118,18)"
-2.77603507,-1.917709827,麦冬,"四气五味：甘,微苦,微寒；归经：心,肺,胃","rgb(188,62,71)"
-2.738422632,-0.071033478,五味子,"四气五味：酸,甘,温；归经：肺,心,肾","rgb(138,164,152)"
-1.581794739,-2.248958111,白芍,"四气五味：苦,酸,微寒；归经：肝,脾","rgb(101,78,8)"
-2.987339973,-3.009689093,车前子,"四气五味：甘,寒；归经：肝,肾,肺,小肠","rgb(99,85,0)"
-2.2577335830000003,1.2527601720000001,苍术,"四气五味：辛,苦,温；归经：脾,胃,肝","rgb(121,120,120)"
-2.261112452,-3.8020803930000002,熟地黄,"四气五味：甘,微温；归经：肝,肾","rgb(0,64,65)"
-2.423458576,1.586563945,生姜,"四气五味：辛,微温；归经：肺,脾,胃","rgb(112,111,111)"
-3.0025796889999996,-0.276521504,桂枝,"四气五味：辛,甘,温；归经：心,肺,膀胱","rgb(132,166,96)"
-3.841306448,-3.1530408860000003,阿胶,"四气五味：甘,平；归经：肺,肝,肾","rgb(127,84,28)"
-4.049615383,-0.543394983,火麻仁,"四气五味：甘,平；归经：脾,胃,大肠","rgb(0,141,132)"
-2.297468424,-3.011219263,泽泻,"四气五味：甘,淡,寒；归经：肾,膀胱","rgb(66,81,11)"
-1.513089895,-2.76542902,牡丹皮,"四气五味：苦,辛,微寒；归经：心,肝,肾","rgb(73,74,14)"
-3.8657882210000003,-3.7432861330000002,枸杞子,"四气五味：甘,平；归经：肝,肾","rgb(62,80,29)"
-4.109154224,-2.61918664,菟丝子,"四气五味：辛,甘,平；归经：肝,肾,脾","rgb(175,93,94)"
-2.597402573,-4.429816246000001,鹿角胶,"四气五味：甘,咸,温；归经：肾,肝","rgb(9,44,71)"
-3.5906929969999997,-3.355566978,牛膝,"四气五味：苦,甘,酸,平；归经：肝,肾","rgb(90,85,16)"
-2.100105047,-2.541544199,黄柏,"四气五味：苦,寒；归经：肾,膀胱","rgb(105,79,0)"
-2.701319695,-2.368893623,知母,"四气五味：苦,甘,寒；归经：肺,胃,肾","rgb(156,70,28)"
-2.664515972,-1.804931641,北沙参,"四气五味：甘,微苦,微寒；归经：肺,胃","rgb(188,61,71)"
-1.91862309,-2.582026482,川楝子,"四气五味：苦,寒,有小毒；归经：肝,小肠,膀胱","rgb(95,78,0)"
-1.9778494830000002,-4.042625903999999,山茱萸,"四气五味：酸,涩,微温；归经：肝,肾","rgb(0,57,58)"
-3.960914612,-1.899103045,附子,"四气五味：辛,甘,大热,有毒；归经：心,肾,脾","rgb(219,102,106)"
-3.7650556560000004,-2.320254803,肉桂,"四气五味：辛,甘,大热；归经：肾,脾,心,肝","rgb(194,90,94)"
-2.559403658,-3.5926997660000004,杜仲,"四气五味：甘,温；归经：肝,肾","rgb(0,75,62)"
-2.753558159,-4.271862507,肉苁蓉,"四气五味：甘,咸,温；归经：肾,大肠","rgb(0,49,75)"
-2.083695889,-3.4655020239999996,巴戟天,"四气五味：甘,辛,微温；归经：肾,肝","rgb(0,74,49)"
-2.545398951,-2.752537489,石斛,"四气五味：甘,微寒；归经：胃,肾","rgb(107,81,0)"
-1.41849494,-0.615175426,薄荷,"四气五味：辛,凉；归经：肺,肝","rgb(113,108,64)"
-4.61407423,-1.565720201,莲子,"四气五味：甘,涩,平；归经：脾,肾,心","rgb(192,114,93)"
-2.168384314,1.319137931,砂仁,"四气五味：辛,温；归经：脾,胃,肾","rgb(117,116,116)"
-1.60704124,-0.711083055,荆芥炭,"四气五味：辛,涩,微温；归经：肺,肝","rgb(123,110,57)"
-2.97184515,-3.365247965,地黄,"四气五味：甘,寒；归经：心,肝,肾","rgb(33,86,35)"
-3.198005676,-4.076366901,龟甲胶,"四气五味：咸,甘,凉；归经：肝,肾,心","rgb(0,65,70)"
-3.057582855,-3.7283329960000002,龟甲,"四气五味：咸,甘,微寒；归经：肝,肾,心","rgb(0,76,64)"
-2.354230642,0.802957475,石菖蒲,"四气五味：辛,苦,温；归经：心,胃","rgb(139,137,137)"
-2.4959867,-3.9736080169999997,何首乌,"四气五味：苦,甘,涩,微温；归经：肝,心,肾","rgb(0,58,74)"
-2.003940582,0.8999441859999999,补骨脂,"四气五味：辛,苦,温；归经：肾,脾","rgb(125,124,124)"
